"node","woman","man","girl","boy","mother","father","female","male","feminine","masculine"
"breaking",0.0197400131887732,0.021225128939413,0.021995794629568,0.0204985728856603,0.0281677588510145,0.015495964842899,0.0251892997964629,0.0235158288694545,0.0283872567056265,0.0235757772008557
"cracking",0.00354825361843065,0.00383682787654419,0.00400826452115541,0.00364485196333366,0.00538034080979284,0.00271291629564492,0.00468215435959672,0.00434288875009459,0.00517637696626115,0.00431587340577334
"splitting",0.000221765851151916,0.000239801742284012,0.000250516532572213,0.000227803247708354,0.000336271300612052,0.000169557268477808,0.000292634647474795,0.000271430546880912,0.000323523560391322,0.000269742087860833
"tearing",0.00195153949013686,0.0021102553320993,0.00220454548663548,0.00200466857983351,0.00295918744538606,0.00149210396260471,0.0025751848977782,0.00238858881255202,0.00284700733144363,0.00237373037317533
"breakup",0.989635109030022,1.25712894292266,0.744760762152803,0.477242862559377,1.0753524984981,0.839777301755896,0.960889407417748,0.679222057043475,0.478225511728695,0.421207700886495
"divorce",3.21729919538546,3.61062958103665,2.35889238403375,1.16974740831307,2.77868312230294,2.67114616312249,2.64986478560628,1.59696601208623,1.36279978502915,1.02279982726381
"heartbreak",0.810630681661522,0.646355465376182,0.775557947605487,0.615228539715586,1.73227476779782,1.77106694607069,0.805478399561129,0.536658847983337,0.542480666056897,0.347103060623808
"separation",1.60143392493098,2.24526121676618,1.22275740363293,0.845286005582027,1.45956236176975,1.12295588583737,1.55151051276008,1.24761142804477,0.895779052889526,0.950256704090408
"split",1.93841241507785,2.66383562449807,1.55779253651031,1.32398959528209,1.80022796608735,1.3646972341789,2.09185377116404,1.55814777631114,1.37005962906359,1.10629899746365
"bust",1.48454987356023,0.894487144023793,1.55767185110776,0.622514819162367,0.699957753999612,0.548140022921334,2.61051917598344,1.00977512878711,0.891440294485517,0.829407306862842
"breastfeeding",2.43009059180232,1.5895855843023,4.56952661439773,7.19252709269909,13.9430723436797,10.0152142477022,3.30430170995207,2.07982090841599,1.23605928769377,0.98986811668922
"feeding",1.29464241345749,0.996532219029439,1.43377358108682,0.807124344703333,1.61076998403591,1.45881013853151,2.04229611497509,1.15463308253719,0.971996659838376,1.572778814284
"lactation",0.259467400314141,0.163714836382884,0.527148416286941,0.813006283536981,1.76356587970153,1.13112652305355,0.349865568445721,0.211518059972766,0.121371092360703,0.0937401234066604
"milk",2.38891465112547,1.82300623158208,3.02329164874599,2.85908137057498,5.34284948096995,2.78244898869548,3.60253849795575,2.82295490356767,2.08927521975898,2.44149332500468
"nursing",1.3461080715787,1.12028379658189,2.04085266331131,3.08871769497058,7.32939849305756,6.40989491167868,2.0328255045562,1.5423036894238,0.984310626276595,0.726506070892654
"nurture",3.02667745724679,2.35433305973785,4.00306503745468,5.60095216543666,15.7736901834776,20.1595441189114,4.50269696007273,2.60367785942791,1.74619600527677,1.41776894207032
"breath",1.60523763294304,2.27503522607344,1.4518740293951,1.24646735906822,1.96894096273291,1.01070471638147,1.96865166253109,1.60253370703537,1.88015176944402,1.09793784317428
"inhale",1.10701253451095,1.67183738246836,0.883684352759471,1.04041070959576,1.05842564921908,0.959441667672268,1.22011621014788,1.41476494927934,1.33350549308519,1.2180076933739
"respire",0.110702454383244,0.176567539198781,0.0832202108081762,0.100871934485662,0.10200530321494,0.0920697073440314,0.122649164998675,0.143377332057622,0.132301664530035,0.119668680696593
"respiration",0.660228490324776,1.12357872512842,0.555777784574882,0.657308510217038,0.726642733993178,0.621310804271368,0.813446277629786,0.876578393805883,0.67300163053113,0.577304246455196
"breathless",0.25386037346263,0.108769079522561,0.207556242604673,0.158637610065635,0.176656014461646,0.101599357673819,0.317267279093157,0.132789058751844,0.167072282809825,0.176403452158595
"exhausted",0.685318444254354,0.400927518880753,0.619045218432401,0.518392573041437,0.519359345641391,0.353880820248896,0.874284771611499,0.459452967301162,0.495178794073899,0.717593154715904
"gasping",0.00291985731919871,0.00109539527495207,0.00230639792784183,0.00168290172311939,0.00184259306816031,0.00103052327771434,0.00384134726015923,0.00136163690466093,0.00177781305393737,0.00178019801593054
"breed",2.8471506598185,3.28449572523776,4.25387202142612,8.95987897896253,14.9621265203001,22.3982758880383,4.61151442652065,4.32001838142001,1.545097839215,3.65782442028233
"offspring",6.68264189518044,6.44863989255449,10.9167019353279,25.1454785581382,31.4302821658594,44.4149674238338,10.396208032772,9.44723780820513,2.88063465667195,4.64749026235905
"reproduce",2.67758284510304,2.88298088332908,3.76680389843266,4.93272661539488,9.03207905310271,9.44444005804852,6.15122536900568,4.08681494171933,1.46221832366278,2.51633561541982
"specie",2.42165136488596,2.92290683996352,2.62038265768142,3.6545668365083,6.60144158313098,8.12702150517421,2.90434410391515,3.18521239984621,2.4793664221761,2.68301247685543
"breeding",1.80973313547211,2.0870028454066,2.51851645155534,2.94475914393864,6.08927647065612,4.91944691662794,3.64111520175501,2.3225848264853,0.934718633142675,1.83639127515756
"door",1.97669727328551,2.7154891705913,1.84800085343551,2.21497364243176,3.43503799935105,4.08911664377427,2.23228037314931,2.25527040946035,1.92388055712063,1.70648762577588
"hallway",0.29629365727399,0.3635596235801,0.283973113625627,0.369787883208776,0.45815050719498,0.724880805323106,0.279203751733883,0.32377256184886,0.272588576554665,0.213617038116747
"breezy",1.01280803447466,0.553175064956068,0.77822579692372,0.558520580630966,0.860680895805219,0.57123832314109,0.577845830585477,0.482067315685527,3.48093489871873,0.385605825439624
"windy",0.622117442815689,0.447006194063628,0.510788405806194,0.408151771796032,0.518287022750421,0.335323014381597,0.391032091175769,0.405484613581853,2.39825717242302,0.326291702554562
"brevity",2.15258854344074,1.8045136247768,1.48563732132147,0.677351207678492,0.355952607704806,0.18992091473626,1.70443925702483,0.859493592715781,1.35636373913763,0.707433510702514
"concise",5.08773891234405,3.6598129052348,3.54112728833989,1.39749968900939,0.698145093042671,0.344771566300957,4.04756656825266,1.62881437460402,3.11284117575344,1.34496660470879
"brew",0.710172272325062,0.670095252242564,0.798235080374211,0.691974667987581,0.755625052977772,0.640434387704026,0.707924869280905,0.760805132065499,0.924132674142227,0.555747632771344
"coffee",1.56533325279526,1.56919919321223,1.65553931200465,1.93647960162011,1.42485073426798,1.35089271287945,1.58037407825243,2.08553824342771,2.11911529660353,1.55534770341116
"brewery",0.27315922223752,0.346139952655951,0.321910221113932,0.409409185167603,0.384347812828493,0.389504012815159,0.262081655531097,0.375764456992808,0.345020199169745,0.21991534670233
"bribe",0.409399233534474,0.506423601202018,0.493164029054666,0.783765629498946,0.789983921299975,0.558376053693799,0.507906695755441,0.578200803353477,0.327096595500429,0.295792959170235
"corrupt",0.748821028990226,0.967185164054797,0.609536704165044,0.893166236098704,2.07355828047087,1.70067921387067,0.779934722731234,1.14475035559716,0.513602810308683,0.647640226556983
"corruption",0.715658980744011,0.880873881322294,0.80802347732412,1.38222082470074,1.6700680801182,1.16645163516383,0.846063468851278,0.984293102266898,0.4983054214605,0.502354112237999
"payoff",0.0726527258685863,0.0937349771130028,0.092003720243075,0.153562191502241,0.15348620328991,0.100916996350315,0.0926563580241624,0.105726913272649,0.0571917741257808,0.0499771798854228
"bribery",0.416154368165858,0.533471207884546,0.448707395315935,0.70788761093551,0.809961780612266,0.653826291534274,0.481578144078909,0.568437106810127,0.328338798340743,0.334658986265418
"clay",0.747867679410731,0.456510986322703,0.959350194568214,0.618790595223714,0.507003245508658,0.486474960186307,0.649368112275901,0.518858194739542,1.19225923448269,0.444613459748322
"bridal",2.86908937135827,1.83465991191918,1.80628013503202,0.647309992214326,1.68072548585133,1.47718578239746,1.70629704340107,0.705185475838154,1.65216190449323,0.495857148101475
"marriage",10.0631279367115,8.96392450837961,7.94014916483469,3.54543357824705,9.92084233457263,11.0054628123087,7.54402261133023,3.65480458500654,3.98597483518392,2.44635502114164
"wedding",8.30942016713744,6.71903699450253,5.57062720937626,2.25149374380089,6.90867285295543,6.76586492241675,5.36301945064488,2.41542360937565,3.74397166992825,1.68721502398258
"bride",3.47793570451831,2.34804740730319,2.20346655859756,0.856353649678227,2.26856968872729,2.05432762037311,2.07973367237309,0.900775299219905,1.96842896900016,0.64898532882745
"groom",2.23751947813018,1.54286162153693,1.58537077225682,0.885095854008365,1.72140436472275,1.71302292744902,1.48147714185807,0.819033427053838,1.98874253659063,0.748920034082219
"span",0.467273006967166,0.879210795110679,0.622979406261993,0.724041435218769,0.550007687166921,0.4747833714907,0.517600983343864,0.597959202216195,0.464622545346041,0.561898812362779
"brie",0.434732752023717,0.336947542390408,0.446682732433459,0.303309346638387,0.466085229691084,0.299244846681794,0.484269897786111,0.399606474203521,0.413233978201445,0.357260846556059
"cheese",2.29687959609606,1.99489042771203,2.35910809750743,1.88331261147488,2.35617669508889,1.73494292631986,2.54517357566103,2.2381867312572,2.7914752982305,2.2092773108083
"brief",7.08206690342074,3.92351911548357,5.22047775184709,1.53911709723227,0.944633564234946,0.488405600034053,5.62613404537867,1.9821157178933,3.79635133302301,1.53430761949623
"briefcase",0.929005020829842,0.805693273534279,0.738022932262898,0.587346956234902,0.724774188695381,0.58846606950866,0.673033343069073,0.553025719332412,0.67509940260026,0.526228288582773
"case",0.798608704615154,0.826186686324532,0.811081538581302,0.683169825135172,0.588598497959424,0.562938785793796,0.719802517862492,0.722042072799072,0.73267538332713,0.533352542581637
"brigade",0.67713371362425,0.899352834830532,0.714326824554711,0.649458976779502,0.619618155040106,0.661628949175517,0.82583913063755,0.670385949177728,0.502667688563839,0.613137720203248
"firefighter",1.49576730616315,0.735407618457607,1.70698445716051,0.766211561274064,0.906261363076891,0.893767536896043,2.4090464997532,0.722484651447449,0.816593388347594,1.28297591189168
"bright",4.73735353888214,2.90400918072371,4.5509888854828,3.38774155258885,2.3657068599399,1.96911704708236,3.52462680846769,2.80829261286587,9.76067074022409,3.63424134177824
"illumination",1.3918959126354,0.886833897625563,1.24381832824041,0.951984484892424,0.833980288639625,0.751249616975515,0.984344795770835,0.991270711740516,4.02048832503783,0.933068952151297
"luminous",1.00212059309186,0.567413916319276,0.838379534916649,0.571961146581925,0.383212299576208,0.303585084093561,0.614714636322326,0.496864566814429,2.72464904644968,0.866459677519796
"brighten",0.565004343761377,0.408800652792883,0.479339915062194,0.437961110625712,0.373982750379354,0.344942795355492,0.373560786088611,0.373539259244602,1.60986218758972,0.581734269898442
"illuminate",0.636225565572161,0.442591367365893,0.562124931368045,0.536747784473852,0.380276683720131,0.338226137738897,0.418398748907152,0.403463681758413,1.86512946011871,0.59814854720748
"lighten",0.498077602876934,0.364751584630791,0.408100217095329,0.478160116949364,0.7059936127541,0.790321937144732,0.33113713860183,0.342342726496738,0.812134582960843,0.516235235051578
"brightness",1.03933373605809,0.653747670280144,0.936008957821772,0.730263201839692,0.537849943212748,0.461603188635265,0.689063478146553,0.664198559511767,2.91128455150047,0.78861743528863
"radiance",0.497984555533566,0.324834808650304,0.412647150257193,0.301813567142493,0.216078200355995,0.180652822008191,0.341731856206684,0.343023789480591,1.45480401834243,0.569259246522129
"brilliance",0.372928818093684,0.278586982828319,0.301571327833875,0.223051465679211,0.151837443436711,0.131270340660013,0.26075669174279,0.263169484398009,1.01452067904335,0.585837937613753
"excellence",1.34842957550169,1.44303191402147,1.48181969250425,1.27793476775646,0.587748895023263,0.714826506022375,2.02793172104782,1.58048436512437,1.07750818000255,2.00193498993722
"genius",1.10638150541297,1.44951181910123,1.07582901310737,1.26170537383121,1.20733659329759,1.05739234435195,1.23654363477897,1.98508836332501,1.2233242327296,2.01190171586381
"luminance",0.040439965215997,0.030596559783143,0.0320134312463425,0.0237028649059899,0.0151859593656153,0.0128989158331219,0.0273721436921682,0.028565500488688,0.12334526680514,0.0702533189137962
"shine",2.45801826938768,1.97316924760623,1.97764283221608,1.51685526914867,0.977979055853471,0.829051269169039,1.66659462196014,1.76183288352131,5.3938944002657,4.32762796982587
"splendor",0.0448624100698152,0.0360572097693613,0.0391195446659447,0.024651487824005,0.0304713410534995,0.0351276997661556,0.0368664044727056,0.0299411401697896,0.0806685733446423,0.0529853193691657
"brilliant",0.655124093532207,0.847940569949876,0.573549764736068,0.549247385345154,0.444576858454867,0.396766290907151,0.608259327260426,0.794081380070605,0.897700090029885,1.10143150967332
"brim",0.875057772411539,0.539519627590977,0.652830815794139,0.523177326725945,0.543579693271376,0.334839736279128,0.585151617160945,0.447010400215482,0.561476391932726,0.504115462613601
"rim",0.830790508082188,0.624532303930898,0.705684744802242,0.717635965696631,0.579559383944035,0.404839239380034,0.609901130662234,0.527257060254541,0.616832909100331,0.698709716276278
"top",2.61427263502321,2.7707701932081,2.06707255914936,1.80918796078336,1.42240065032565,1.26836800918106,2.48896470407267,2.40514657886309,2.15622454211461,2.46277532491319
"brimstone",0.3648184782351,0.325078294535463,0.343133411690764,0.339685825386573,0.484233381052484,0.730805030009291,0.329085446366181,0.354027208619687,0.438656378270055,0.3375550184387
"sulfur",0.399463418246455,0.397184974949314,0.376916071769217,0.39238852382502,0.35736284991912,0.445393453470525,0.399191387291865,0.429175662045629,0.532199574208458,0.420106601466678
"brine",0.461950844594079,0.439133824625026,0.428415510353004,0.375066613764581,0.285518348745447,0.264684673817494,0.423007533688882,0.465003167993367,0.886767416698627,0.447733905822338
"salt",0.729557802817468,0.626214657253056,0.651143938193017,0.585410474963908,0.423140952778479,0.405631447649174,0.655091958001419,0.71421801504682,0.991761327492784,0.759377748041578
"saltwater",0.0256542204732828,0.0249964441148086,0.0230787606189754,0.0202806589126197,0.014877454723279,0.0135959968210915,0.0233762340242548,0.0263757311799748,0.0539047227935849,0.0246984311603758
"salty",0.954242760873128,0.851615225119491,0.846648289322689,0.686907443451549,0.560679107235427,0.512143996581204,0.843838563632827,0.80037668807253,1.97065455474459,0.98069861838146
"bring",0.371791486489369,0.497673854223059,0.394053217316769,0.481359798288895,0.423033069882149,0.480184468187788,0.342775709220744,0.389446163156479,0.331708454224211,0.379199932731389
